 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,01:15:41.546,1,1,1,1,0,0,0,0,0,0,17.179000,16.358000,8.901118
2016.12.18,01:15:42.35,2,1,1,1,0,0,0,0,0,0,17.315000,16.533000,7.649580
2016.12.18,01:15:42.535,3,1,1,1,0,0,0,0,0,0,17.184000,16.406000,8.588674
2016.12.18,01:15:43.28,4,1,1,1,0,0,0,0,0,0,17.242000,16.428000,7.319331
2016.12.18,01:15:43.539,5,1,1,1,0,0,0,0,0,0,17.164000,16.372000,8.225877
2016.12.18,01:15:44.39,6,1,1,1,0,0,0,0,0,0,17.232000,16.453000,7.812233
2016.12.18,01:15:44.531,7,1,1,1,0,0,0,0,0,0,17.367000,16.438000,8.086512
2016.12.18,01:15:45.41,8,1,1,1,0,0,0,0,0,0,17.175000,16.396000,7.908030
2016.12.18,01:15:45.534,9,1,1,1,0,0,0,0,0,0,17.322000,16.448000,8.313124
2016.12.18,01:15:46.36,10,1,1,1,0,0,0,0,0,0,17.298000,16.397000,7.134686
2016.12.18,01:15:46.541,11,1,1,1,0,0,0,0,0,0,17.172000,16.394000,7.201427
2016.12.18,01:15:47.36,12,1,1,1,0,0,0,0,0,0,17.283000,16.486000,8.825119
2016.12.18,01:15:47.549,13,1,1,1,0,0,0,0,0,0,17.312000,16.404000,7.887216
2016.12.18,01:15:48.43,14,1,1,1,0,0,0,0,0,0,17.170000,16.384000,8.820097
2016.12.18,01:15:48.542,15,1,1,1,0,0,0,0,0,0,17.332000,16.417000,8.822814
2016.12.18,01:15:49.38,16,1,1,1,0,0,0,0,0,0,17.322000,16.407000,8.739896
2016.12.18,01:15:49.537,17,1,1,1,0,0,0,0,0,0,17.240000,16.286000,7.200366
2016.12.18,01:15:50.39,18,1,1,1,0,0,0,0,0,0,17.234000,16.313000,7.442423
2016.12.18,01:15:50.541,19,1,1,1,0,0,0,0,0,0,17.310000,16.329000,7.206313
